ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Synchytriales	0	0	5615	4261	592	0	0	0	0	1342	4673	0	420	0	0	0	3027	0	0	0	0	0	2008	1084	0	974	0	0	0	0	1410	0	3734	312	0	0	1571	0	0	0	5392	0	0	0	0	4086	265	0	1762	0
Taphrinales	610	6025	21658	8032	1665	6575	5832	0	3060	4681	785	2500	638	3685	0	1406	0	2220	0	314	0	4818	11770	718	0	2446	19890	0	1122	0	1445	14927	2655	1232	3105	0	544	0	0	0	2848	0	2114	6528	3658	3211	339	0	0	5793
Tilletiales	0	2970	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Togniniales	1747	10251	6145	5393	1468	40301	8619	5481	6672	31467	1540	3024	538	4132	11400	0	0	387	0	1726	0	10351	5481	3138	0	5111	20138	0	632	1080	5792	0	5782	1098	0	836	1509	1529	0	0	10246	2160	907	2209	16021	9994	472	361	2218	3660
Tremellales	1111	15893	18829	2677	1125	3710	12379	3623	1807	4859	0	4154	1014	2795	2151	12082	0	4332	0	1075	2010	10942	5897	4185	767	5360	9485	9499	1618	1045	2655	21239	1759	860	4448	1323	535	1473	961	2033	2918	3004	1788	27552	3580	4955	397	597	965	6343
Trichosporonales	0	2092	2119	0	0	0	1563	0	0	945	0	0	0	0	0	1581	0	567	0	0	0	0	0	0	0	969	0	0	256	0	0	2577	0	0	0	0	0	0	0	2538	0	0	0	2789	0	0	0	0	0	0
Trypetheliales	606	2396	3532	1912	335	7867	1829	0	0	2130	0	1880	0	1499	2541	0	0	0	0	0	0	4660	1135	1593	0	0	4390	2715	220	0	0	0	0	0	0	0	323	632	0	0	3094	0	0	1544	0	0	0	0	1537	0
Umbilicariales	1103	3019	3928	3287	499	4960	2299	2088	1782	1344	0	2407	373	2118	4446	0	0	0	0	357	0	5526	1863	2649	0	0	5060	0	230	741	2136	0	0	0	0	0	357	1066	0	0	5022	0	758	0	1961	2679	260	280	1953	0
Ustilaginales	353	12004	0	1922	0	0	1049	0	1496	1075	0	979	0	0	0	6883	0	437	0	0	0	3129	0	1422	410	1427	2247	4058	487	0	0	2448	0	0	0	0	255	0	0	820	0	2071	1250	1425	0	0	0	0	0	2179
Venturiales	22237	160519	554636	154940	3648	272969	86824	157021	248334	26981	8689	168554	114789	290175	35710	2556	2795	11259	1757	1457	135684	76907	25680	24678	1101	24996	289433	34488	18485	15028	33536	69552	18770	3883	46340	29190	8094	34691	6433	2869	149806	11059	251867	100538	134306	33358	24335	40379	80270	24187
Verrucariales	578	0	2973	1794	322	5220	1735	0	0	1490	0	0	0	1476	2705	0	0	0	0	0	0	4137	1333	2462	0	0	3293	0	0	0	0	0	786	0	0	0	317	589	0	0	3062	0	0	0	0	0	0	0	1274	0
Violaceomycetales	0	3747	0	0	0	0	0	0	0	0	0	0	0	0	0	1185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wallemiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylariales	17122	69357	69001	46436	10177	269021	68033	38509	38183	151342	10013	24308	4738	28248	81591	2867	4054	9410	2282	10728	10315	162597	35653	59444	964	27520	211311	19611	5761	9641	55383	9120	30633	5495	19284	6694	10132	22510	10714	3247	152958	188014	7857	18634	95666	60084	10121	3143	24856	24893
Xylonales	523	0	3204	1567	291	4121	1477	0	0	1706	0	0	0	1489	2300	0	0	0	0	0	0	4009	875	1669	0	0	3729	0	0	0	0	0	0	0	0	0	0	599	0	0	2728	0	0	0	0	0	0	0	1081	0
Zoopagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																		
