genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Aureobasidium	0,362702	0,077347	0,241036	0,200924	0,092706	0,054491	0,552008	0,030386	0,023787	0,683788	0,033732	0,047816	0,053494	0,132202	0,206481	0,917921	0,007546	0,647382	0,646694	0,073451	0,01563	0,444046	0,057048	0,434598	0,016649	0,283683	1,142949	0,0726	0,112789	0,070241	0,493699	0,246565	0,177819	0,116073	0,027451	0,646476	0,165448	0,03594	0,016152	0,034133	0,199685	0,021874	0,251645	0,049023	0,054054	0,063958	0,019613	0,084072	0,030098	0,091346
Auricularia	0,000534	0,000605	0,000433	0	0	0	0	0	0	0,000694	0	0	0	0,000608	0	0,116828	0	0	0	0	0	0,000925	0	0,013059	0	0,002241	0,005107	0	0	0	0	0	0	0,000896	0	0,000935	0	0	0	0	0	0	0	0	0,000491	0	0	0	0	0,000563
Auriculariopsis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001442	0	0	0	0	0	0	0	0,000489	0	0	0,000436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Austropuccinia	0	0,001094	0	0,000654	0,001142	0	0,000923	0,000985	0	0	0	0	0,004569	0	0,011766	0	0	0	0	0,00078	0,000739	0	0	0	0,001364	0	0	0	0,001031	0	0	0,0042	0	0,001291	0	0,001128	0	0	0	0	0	0,000719	0,005454	0,000589	0	0	0,001832	0	0	0
Basidiobolus	0,002021	0,001793	0,003406	0,002696	0,003617	0,000973	0,001951	0,002014	0,001153	0,002108	0,001098	0,002793	0,002394	0,001366	0,001877	0,001817	0,002428	0,003137	0,001175	0,002063	0,001677	0,001398	0,002146	0,003163	0,001885	0,00227	0,002562	0,001755	0,00305	0,001829	0,002083	0,001068	0,003463	0,003354	0,00095	0,003601	0,001832	0,001943	0,001774	0,001518	0,001728	0,001821	0,002633	0,002114	0,00195	0,003581	0,003236	0,002272	0,001586	0,001388
Batrachochytrium	0,003099	0,002734	0,007313	0,013261	0,004915	0,001065	0,002508	0,004813	0,003321	0,005094	0,003551	0,003938	0,002154	0,001284	0,005999	0,004528	0,011659	0,00345	0,001687	0,003982	0,00301	0,001727	0,011155	0,006723	0,002098	0,004379	0,007344	0,004463	0,004629	0,002633	0,004449	0,001523	0,013001	0,008528	0,001256	0,008078	0,003111	0,002451	0,00522	0,005724	0,002786	0,002479	0,002575	0,003824	0,005994	0,005083	0,002166	0,005124	0,006651	0,002927
Baudoinia	0,011692	0,01674	0,022039	0,011671	0,011356	0,092891	0,029212	0,004631	0,006221	0,023109	0,00608	0,007663	0,00942	0,011551	0,01273	0,009948	0,001055	0,01582	0,002142	0,006646	0,001877	0,031926	0,014203	0,017556	0,00743	0,011106	0,030595	0,045897	0,022048	0,003785	0,011774	0,012938	0,009671	0,016447	0,009178	0,013611	0,006274	0,000738	0,005859	0,028298	0,004178	0,006048	0,027809	0,004863	0,003694	0,006426	0,005496	0,009857	0,016271	0,002751
Beauveria	0,006942	0,003234	0,004441	0,004263	0,003108	0,02793	0,006379	0,002033	0,003513	0,011504	0,001285	0,002234	0,004448	0,009023	0,000896	0,001603	0	0,001561	0,00053	0,004158	0,000505	0,005846	0,003956	0,009771	0,000445	0,001789	0,007117	0,003073	0,00214	0,00148	0,002337	0,000481	0,002724	0,002295	0,000551	0,004911	0,00316	0,000597	0	0,005013	0,001644	0,002252	0,000927	0,004884	0,002564	0,001649	0,001329	0,00221	0,00294	0
Bifiguratus	0,001102	0,000508	0,00163	0,001889	0,001523	0	0,000414	0,000973	0	0	0	0,001111	0,001408	0,000576	0	0,000512	0,000612	0,001345	0	0	0	0,001242	0,001565	0,001779	0,000475	0,000532	0,001417	0	0,000497	0,000859	0,000715	0	0,001592	0,001669	0	0,001774	0,000929	0,000542	0,000428	0,001169	0	0	0,000842	0,000459	0,001054	0,001383	0,001364	0,000658	0,000552	0
Bimuria	0,011017	0,003645	0,004432	0,004422	0,002648	0,007889	0,005929	0,002027	0,003241	0,009938	0,001266	0,006919	0,005128	0,006526	0,003376	0,002709	0,002079	0,010306	0,002153	0,003316	0,003527	0,00841	0,00389	0,006257	0,001576	0,00262	0,007066	0,007722	0,004288	0,003093	0,003941	0,003049	0,002629	0,002439	0,001471	0,003996	0,01019	0,002285	0,003069	0,004147	0,004613	0,002323	0,004859	0,002945	0,002037	0,001381	0,002263	0,002336	0,007494	0,001704
Bipolaris	0,013215	0,005313	0,007169	0,007166	0,003986	0,013803	0,009748	0,00311	0,007301	0,020461	0,002368	0,009542	0,009626	0,008746	0,004602	0,004778	0,002878	0,013779	0,003445	0,005798	0,004686	0,011491	0,007106	0,010619	0,003378	0,005945	0,019736	0,048853	0,008127	0,005987	0,005997	0,015281	0,003912	0,005268	0,002489	0,008448	0,00934	0,003364	0,014752	0,00563	0,00944	0,003245	0,009565	0,005713	0,00302	0,002475	0,004487	0,002782	0,006624	0,002158
Blastomyces	0,006796	0,003679	0,004813	0,003849	0,002794	0,007415	0,008172	0,002099	0,003324	0,017368	0,002853	0,002054	0,003319	0,005336	0	0,002083	0	0,001521	0,000555	0,005244	0,000533	0,005782	0,003885	0,007652	0	0,00332	0,00854	0,002461	0,003142	0,001473	0,004059	0,001038	0,004439	0,00345	0,000947	0,004318	0,003368	0,000422	0	0,004625	0,002144	0,001694	0,002567	0,00357	0,002822	0,001715	0,002076	0,001776	0,00312	0,001181
Blastosporella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blumeria	0,069269	0,017888	0,015982	0,031431	0,019358	0,007993	0,016028	0,016369	0,00988	0,005858	0,002359	0,011596	0,018671	0,05813	0,000435	0,010245	0,003926	0,004653	0,005555	0,017521	0,007341	0,02231	0,025817	0,01654	0,002464	0,004341	0,01764	0,001148	0,006181	0,017259	0,002955	0,002464	0,004367	0,006864	0,001227	0,01895	0,021907	0,008539	0,000811	0,027322	0,001185	0,015972	0,002585	0,011923	0,014022	0,010522	0,017723	0,001663	0,018958	0,004227
Blyttiomyces	0,000425	0,000888	0,002566	0,007323	0,001489	0	0,000879	0,002314	0,001327	0,002453	0,001764	0,003137	0,001208	0	0,001288	0,001258	0,00522	0,001509	0	0,001043	0,00102	0,001555	0,006138	0,001355	0,000946	0,002912	0,001263	0,001653	0,001748	0,001498	0,00218	0,000526	0,008454	0,003753	0,000465	0,003998	0,00146	0,001149	0,003007	0,003074	0,001649	0,001296	0,00105	0,00114	0,003241	0,003291	0,001352	0,002204	0,001439	0,001297
Boletus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000651	0	0,000504	0	0	0	0	0	0,000486	0	0	0	0	0	0	0	0	0	0	0	0,001658	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bondarzewia	0,000427	0	0	0	0	0	0	0	0	0	0	0	0	0,002336	0	0,001186	0,000439	0	0	0	0	0	0	0,000686	0	0	0,000473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001143	0	0	0	0	0
Botryobasidium	0	0,00043	0,000421	0	0,000921	0	0	0	0	0	0	0	0	0,000424	0,001057	0,002953	0	0,001197	0	0,000417	0	0,000551	0,000602	0,004044	0	0	0,00168	0	0	0	0	0	0	0,000417	0	0,000491	0	0	0	0	0	0	0,000947	0	0,000683	0	0,00046	0,000419	0	0
Botryosphaeria	0,010765	0,004585	0,006933	0,006614	0,004935	0,012158	0,008182	0,002988	0,004282	0,019999	0,002061	0,003732	0,006431	0,009615	0,001573	0,003949	0,000636	0,002797	0,00178	0,003733	0,001687	0,018421	0,005457	0,009113	0,001062	0,002782	0,014458	0,003747	0,003387	0,002092	0,003965	0,001931	0,003067	0,003528	0,00141	0,006617	0,007694	0,000887	0,000586	0,006381	0,002216	0,003479	0,003451	0,004731	0,003023	0,002549	0,002847	0,002602	0,007933	0,001402
Botryotinia	0,028494	0,008308	0,009875	0,014106	0,009547	0,004658	0,007566	0,007552	0,005325	0,00361	0,000973	0,00599	0,010247	0,026121	0	0,004568	0,001421	0,002449	0,003062	0,008222	0,003502	0,013828	0,012526	0,009462	0,00128	0,001929	0,011426	0,002125	0,00346	0,00813	0,00178	0,001305	0,002907	0,003511	0	0,011291	0,01084	0,004331	0	0,014293	0,001043	0,007452	0,001283	0,005742	0,00651	0,005227	0,010068	0,000642	0,009139	0,002098
Botrytis	0,115235	0,03166	0,034392	0,054374	0,032599	0,016304	0,038178	0,029367	0,020092	0,017807	0,004345	0,024929	0,03544	0,097463	0,002411	0,017363	0,006729	0,020367	0,012019	0,032394	0,013354	0,05259	0,04756	0,035238	0,004123	0,008743	0,044148	0,022901	0,012883	0,029838	0,008469	0,007039	0,018315	0,01455	0,002173	0,039154	0,038735	0,014474	0,002459	0,05238	0,003499	0,025483	0,009293	0,0204	0,024743	0,018125	0,033886	0,004711	0,033685	0,011912
Brettanomyces	0	0	0	0,000654	0,001423	0,000908	0	0	0	0	0	0,00045	0,001475	0	0	0	0	0	0	0	0	0	0	0,000426	0,001743	0	0	0	0,000429	0	0	0	0	0	0	0,001638	0	0	0	0	0	0	0	0	0	0	0,000411	0	0	0
Byssochlamys	0,011495	0,004545	0,008513	0,006798	0,004671	0,01261	0,007735	0,002915	0,004144	0,010711	0,002129	0,003177	0,007132	0,010581	0,001016	0,003545	0,000561	0,002273	0,001905	0,005831	0,001716	0,010675	0,006292	0,01014	0,001134	0,002868	0,009528	0,00372	0,003769	0,002924	0,003501	0,001405	0,003665	0,003721	0,001542	0,005258	0,006375	0,00093	0,000631	0,007524	0,001834	0,003289	0,002799	0,003688	0,003617	0,002829	0,00432	0,002278	0,005992	0,001224
