order	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Clostridiales	0,073123	0,053139	0,082979	0,094673	0,092651	0,090815	0,056718	0,083423	0,088941	0,04557	0,087005	0,084595	0,071701	0,054223	0,048686	0,105239	0,212155	0,255765	0,103521	0,055058	0,152121	0,045554	0,060253	0,084625	0,101936	0,118746	0,047256	0,107448	0,074943	0,08531	0,068218	0,08835	0,110287	0,057245	0,0996	0,064828	0,1222	0,173833	0,120185	0,081484	0,111526	0,081762	0,119399	0,067992	0,103013	0,113267	0,085552	0,119614	0,10984	0,110979
Corynebacteriales	0,827716	0,205875	0,419774	0,264714	0,212523	0,135114	0,094244	0,454053	0,349152	0,172705	0,515601	0,404758	0,187946	0,12437	0,153705	0,529159	0,493904	0,886323	0,41178	0,3058	0,426142	0,213031	0,270417	0,569293	0,665839	0,431725	0,216714	0,987369	0,319114	0,440409	0,526507	0,933896	0,588001	0,445289	0,517797	0,206386	0,523141	0,603413	1,726595	0,400389	0,894322	0,634638	0,439514	0,267802	0,379626	0,65588	0,174288	0,724757	0,518025	0,594391
Cryptosporangiales	0,019381	0	0	0	0	0	0	0	0,008793	0	0,020721	0,01436	0	0	0	0	0,036805	0	0,071961	0	0,04549	0	0	0	0	0,009215	0	0	0	0,020532	0,023994	0,069597	0,011068	0	0,179947	0	0	0	0,056828	0	0,014697	0,047801	0	0	0	0,011025	0	0	0	0,023916
Cytophagales	1,11274	2,677526	0,555591	0,894196	0,774777	0,2016	1,088071	0,623292	1,16831	0,750423	0,735193	1,80644	2,180218	0,908869	0,927193	2,006666	1,509384	1,673236	1,93363	1,692543	1,429656	2,047133	0,802696	1,667799	1,798223	1,055072	0,972111	1,976774	1,572646	1,035704	0,779548	2,903515	0,666715	0,706627	0,819572	0,395381	0,681506	1,170996	2,435165	0,804035	1,959845	0,951274	1,411727	0,837048	0,548805	0,505546	1,629883	0,693308	1,509309	0,691786
Deinococcales	0,024211	0,012163	0,028583	0,028717	0,017002	0,021097	0,018638	0,027878	0,046077	0,061191	0,058539	0,025798	0,022928	0,026221	0	0,042579	0,081394	0,059201	0,081201	0,029213	0,043042	0,739346	0,041348	0,361019	0,024096	0,034646	0,047725	0,062795	0,050225	0,02496	0,037019	0,107023	0,035278	0,009318	0,032405	0,01282	0,01279	0,026134	0,150278	0,03331	0,385338	0,039125	0,016732	0,028864	0,027602	0,026791	0,009253	0,042253	0,041088	0,029858
Desulfobacterales	0,036285	0,008945	0,015448	0,049818	0,02148	0,039103	0,009053	0,047938	0,051609	0,009666	0,058853	0,031743	0,042898	0,02255	0,0313	0,054471	0,084697	0,029833	0,045547	0,027351	0,143717	0,019509	0,0345	0,032147	0,038922	0,061558	0,02386	0,05212	0,027531	0,037837	0,04051	0,0429	0,068834	0,027179	0,05292	0,017921	0,027708	0,092929	0,026661	0,045923	0,109322	0,040537	0,013906	0,029219	0,057818	0,063056	0,024244	0,052526	0,058531	0,080444
Desulfovibrionales	0,014453	0	0,012331	0,030749	0,009677	0,041396	0	0,033666	0,031068	0,09938	0,043831	0,022796	0,025029	0,043448	0,018118	0,035166	0,065191	0,024316	0,028728	0,017184	0,090963	0,008291	0,023058	0,01449	0,024842	0,041447	0	0,033009	0,010477	0,02617	0,035627	0,024343	0,037647	0,008728	0,03554	0	0,014143	0,072551	0,021949	0,03378	0,046728	0,026011	0,010478	0,030233	0,044124	0,042811	0,024069	0,048811	0,035983	0,046426
Desulfuromonadales	0,031504	0	0,022695	0,047129	0,021936	0,049433	0	0,047197	0,046468	0,011763	0,090768	0,030308	0,035983	0,020234	0,030803	0,071673	0,124685	0,05371	0,036558	0,023972	0,074869	0,017432	0,038173	0,029856	0,034046	0,049382	0,023925	0,045347	0,022088	0,030008	0,044264	0,042087	0,263061	0,048803	0,036989	0,011694	0,025514	0,077904	0,021201	0,047134	0,053727	0,034878	0,018431	0,026406	0,058055	0,061581	0,021311	0,047158	0,04858	0,067222
Enterobacterales	0,721333	1,715552	0,54582	0,722746	0,780524	0,551823	0,865727	0,53151	0,390785	0,463571	0,312586	0,603183	0,497284	1,026154	0,86633	0,303144	0,262154	1,659243	1,76373	0,94745	0,611638	6,726893	1,697071	0,635557	0,606991	1,292594	0,7034	1,045049	0,803229	0,825959	0,714069	1,056422	0,692783	0,396001	0,521852	0,896026	0,844084	1,453708	2,141136	0,551942	4,055788	0,531242	0,979861	0,7642	0,89062	0,756288	1,229216	1,260548	0,438149	0,937826
Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,017199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00861	0	0	0
Ferrovales	0	0	0,009263	0	0,0098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fimbriimonadales	0	0	0,013771	0,046301	0,009677	0	0	0	0	0	0,009454	0	0	0	0,009582	0,009976	0,04389	0	0	0	0	0	0	0,013751	0	0	0	0	0	0	0	0	0,018012	0	0	0,008243	0	0	0	0,026661	0	0	0	0	0,020927	0,00938	0	0,009002	0,030593	0
