species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Acidimicrobiaceae bacterium	0,023279	0,011019	0	0,008188	0,001919	0,000789	0,003979	0,041786	0,023455	0,005737	0,06183	0,052074	0,030671	0,011886	0,019484	0,226795	0,050187	0,004054	0,02026	0,025171	0,050155	0,002577	0,002631	0,003354	0,13578	0,021442	0,001547	0,140613	0,027936	0,048925	0,026743	0,053711	0,088445	0,031079	0,037172	0,001451	0,027122	0,082714	0,038932	0,004605	0,050479	0,060105	0,002763	0,014694	0,047794	0,042177	0,012213	0,038541	0,019447	0,043201
Acidimicrobiales bacterium	0,010453	0,006162	0,001315	0,007522	0,004944	0,002266	0,002176	0,020137	0,013699	0,004393	0,028777	0,023711	0,010779	0,004753	0,008563	0,046367	0,021161	0,007184	0,010308	0,01208	0,023096	0,003275	0,004721	0,007559	0,035989	0,011801	0,002793	0,062628	0,010116	0,028474	0,01157	0,031013	0,025437	0,013309	0,034284	0,002339	0,012626	0,029548	0,018269	0,016653	0,021463	0,022918	0,003266	0,00975	0,015447	0,018633	0,006005	0,021305	0,019632	0,020805
Acidimicrobiia bacterium	0,014721	0,004441	0	0,00452	0,003456	0,00189	0,001848	0,01653	0,006828	0,002462	0,018172	0,012854	0,005408	0,005328	0,003922	0,023912	0,018171	0,011451	0,006401	0,006939	0,012034	0,002267	0,003249	0,00648	0,02491	0,008247	0,002786	0,023571	0,006699	0,016705	0,009263	0,020818	0,013729	0,010742	0,006495	0,000711	0,011068	0,026221	0,030818	0,009511	0,022601	0,016299	0,00532	0,006987	0,012503	0,02191	0,002331	0,011867	0,012534	0,016296
Acidimicrobium ferrooxidans	0	0	0	0	0	0	0	0	0	0	0,00085	0	0	0	0	0,001046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,001253	0	0	0	0	0	0	0	0	0,000766	0
Acidiphilium multivorum	0	0,001047	0,001077	0	0	0	0	0	0	0	0,000793	0	0	0	0	0,000953	0,001434	0	0	0	0	0	0	0,002208	0	0	0,000679	0	0	0	0	0,000939	0	0	0	0	0	0	0,000811	0,00081	0	0	0	0	0,000881	0	0	0,000693	0,000738	0
Acidipila dinghuensis	0,000831	0,001053	0,006776	0,004199	0,001737	0,136709	0,001385	0,002235	0,00237	0	0,00151	0	0	0,007567	0	0,001939	0,008294	0	0	0,00073	0	0,002099	0,003148	0,006991	0	0	0,002115	0	0	0	0,003739	0	0,002339	0	0	0,000799	0	0,048549	0	0,019355	0	0	0	0,002538	0,03249	0,015726	0	0	0,003577	0
Acidipila rosea	0	0	0,00776	0,003476	0,000873	0,106377	0,001251	0,002446	0,002142	0	0,002077	0	0	0,006282	0	0,000837	0,007925	0	0	0	0	0,001154	0,003237	0,007996	0	0	0,001142	0	0	0	0,002222	0	0,003245	0	0	0,001362	0	0,036259	0	0,014623	0	0,000704	0	0,002211	0,028682	0,012642	0	0	0,002814	0
Acidipropionibacterium acidipropionici	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,002355	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium jensenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,006389	0	0	0	0	0	0	0	0	0	0	0
Acidipropionibacterium thoenii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007312	0	0	0	0	0	0	0	0	0	0	0
Acidisarcina polymorpha	0,000908	0,001642	0,014707	0,006447	0,002542	0,103721	0,002514	0,003384	0,003734	0,002222	0,003699	0,00075	0	0,006249	0	0,002596	0,011753	0	0	0	0,000733	0,003956	0,004732	0,030644	0,000861	0	0,003482	0	0	0	0,004168	0	0,003902	0,001043	0	0,002468	0	0,031573	0,000703	0,018342	0	0,000927	0	0,004266	0,024113	0,012581	0,000726	0,000719	0,004483	0
