genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Actinocorallia	0,003595	0	0	0	0	0	0	0,003	0,00455	0	0,005832	0,004836	0	0	0,001169	0,006014	0,004592	0	0,010652	0,002841	0,00824	0	0	0,002033	0,003174	0,006943	0	0,004692	0,001804	0,00685	0,004057	0,005781	0,006302	0,003064	0,013808	0	0,001996	0,004829	0,005793	0,001832	0,00376	0,006325	0	0,001674	0,00184	0,005121	0,001863	0,001896	0,003908	0,008619
Actinocrispum	0	0	0	0	0	0	0	0	0,001322	0	0	0	0	0	0	0	0,001085	0	0,003758	0	0,001187	0	0	0,001069	0	0	0	0	0	0,001312	0	0,001047	0,001198	0	0,003587	0	0,001113	0	0,00113	0	0	0,001219	0	0	0	0	0	0	0	0
Actinokineospora	0,0072	0,003101	0,001854	0,002508	0	0	0	0,005757	0,007158	0,001311	0,010567	0,008673	0,003126	0,002182	0,002659	0,010254	0,009599	0,002593	0,020104	0,006757	0,013858	0,001414	0,00281	0,003766	0,007946	0,0087	0,015484	0,009954	0,005687	0,012147	0,006694	0,013533	0,010381	0,004068	0,024935	0	0,005911	0,007123	0,017307	0,003984	0,009753	0,011574	0,001539	0,002789	0,004479	0,007695	0,003349	0,004623	0,005595	0,012719
Actinomadura	0,032084	0,01856	0,016493	0,018088	0,012968	0,013411	0,012715	0,033921	0,043913	0,014677	0,051151	0,043808	0,020008	0,01747	0,019957	0,057063	0,052172	0,018619	0,087194	0,027174	0,070892	0,020185	0,022291	0,030714	0,036437	0,044889	0,013675	0,052732	0,031369	0,062547	0,033966	0,059043	0,061231	0,027872	0,118152	0,013313	0,03415	0,044665	0,07402	0,022828	0,048732	0,061653	0,014884	0,033713	0,030813	0,041503	0,026642	0,032459	0,03413	0,066799
Actinomarinicola	0,01109	0,004487	0	0,006499	0,006774	0,001361	0	0,017447	0,012125	0,003058	0,026429	0,014927	0,005279	0,004615	0,002776	0,032823	0,021823	0,004754	0,007868	0,008254	0,017018	0,003875	0,005925	0,011376	0,019492	0,009232	0,003416	0,024813	0,008629	0,016777	0,012602	0,020226	0,022782	0,011281	0,006936	0,001214	0,00981	0,024624	0,027989	0,01729	0,02085	0,022691	0,002754	0,008771	0,013716	0,018736	0,004722	0,012573	0,026709	0,01506
Actinomyces	0,009553	0,004206	0,001376	0,006298	0,003686	0,003681	0,001179	0,012826	0,011256	0,002996	0,021375	0,009785	0,004058	0,004145	0,002351	0,024889	0,01825	0,006947	0,00904	0,006149	0,013325	0,003615	0,003748	0,008449	0,017183	0,008212	0,003095	0,019806	0,007992	0,011527	0,009292	0,015029	0,017705	0,008342	0,02112	0,00247	0,012161	0,016478	0,02909	0,010118	0,01801	0,015953	0,0031	0,006617	0,010454	0,012702	0,003843	0,01023	0,014403	0,012615
Actinomycetospora	0,007129	0,004965	0,005432	0,002656	0,005124	0	0	0,013332	0,004398	0,005433	0,006214	0,004694	0	0	0,006533	0,009143	0,009531	0,003249	0,006763	0,01283	0,006162	0,004145	0,005456	0,015354	0,006772	0,007325	0,003049	0,055716	0,017843	0,005854	0,016359	0,047058	0,011785	0,00304	0,011041	0,004086	0,005405	0,00541	0,081217	0,00523	0,022662	0,00931	0,003019	0,002252	0,004111	0,008888	0,001547	0,008498	0,004981	0,007864
Actinophytocola	0,002551	0	0,001202	0	0	0	0	0,003775	0,004596	0	0,005041	0,004058	0	0	0	0,005435	0,005916	0	0,011317	0,001813	0,006355	0	0	0,002299	0,003103	0,004005	0,00102	0,005087	0,001861	0,005871	0,003032	0,007301	0,005522	0,001712	0,014441	0	0,002941	0,004398	0,009369	0	0,004943	0,005987	0	0,001398	0,001939	0,003583	0,001295	0,001565	0,002369	0,006536
Actinoplanes	0,997562	0,326264	0,03549	0,017349	0,015963	0,013557	0,063787	0,073883	0,841729	0,117822	0,956209	7,746078	0,311824	0,02339	2,021138	1,044586	0,227132	0,035769	13,097296	2,768768	10,312915	0,047721	0,022348	0,072473	0,737185	1,953386	0,060145	0,87894	3,016957	12,382466	0,390366	4,783306	0,205098	0,043515	17,210014	0,009469	1,00139	2,566173	2,620326	0,023755	0,409001	6,527368	0,265279	0,179648	0,093755	0,349688	0,574789	0,65062	0,058008	6,131522
Actinopolymorpha	0,005296	0,002215	0,001958	0,001714	0	0	0	0,005269	0,005413	0	0,0078	0,005727	0,001294	0,001081	0,001799	0,010812	0,011274	0,001141	0,011744	0,004548	0,007742	0,001227	0,002782	0,003814	0,006304	0,005232	0,00104	0,009832	0,003612	0,0062	0,005719	0,010546	0,011169	0,004742	0,015385	0	0,006803	0,006891	0,012429	0,003118	0,009583	0,007107	0,001586	0,002309	0,003626	0,005963	0,003111	0,004788	0,005408	0,007921
