species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Cryphonectria parasitica	0,175874	0,216372	0,108018	0,161791	0,058753	0,207986	0,9022	0,065381	0,459689	2,414861	0,254026	0,03655	0,113025	0,044213	0,0071	0,068468	0,001544	0,042168	0,008721	0,342626	0,002012	0,238048	0,285041	0,231114	0,001501	0,173681	0,753917	0,003145	0,135781	0,016488	0,258943	0,001818	0,293285	0,414686	0,005275	0,393321	0,055158	0,00239	0,000383	0,089916	0,005267	0,025219	0,091675	0,43334	0,153983	0,01464	0,006537	0,139435	0,006711	0,055978
Cryptococcus amylolentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000689	0,000395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000509	0	0	0	0	0	0	0
Cryptococcus depauperatus	0,000641	0,001075	0,000488	0	0	0	0,001185	0	0	0,000557	0	0	0,000378	0	0,00486	0,00107	0	0,00255	0	0	0	0,000551	0,000496	0,00045	0	0,000953	0,000932	0,000616	0,000573	0	0	0,001524	0	0,000656	0	0	0	0	0,000383	0	0	0	0,003009	0	0	0	0	0	0	0
Cryptococcus floricola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,0004	0	0	0	0	0	0	0
Cryptococcus neoformans	0	0,001281	0,000534	0	0	0	0,001302	0	0	0,000845	0	0	0	0	0,004853	0,000977	0	0,002041	0	0,000741	0	0,000716	0,000585	0	0	0	0,000843	0,000706	0,001086	0	0	0,001379	0	0	0	0	0	0	0	0	0	0	0,003034	0	0	0	0	0	0	0
Cryptococcus wingfieldii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,000506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucumispora dikerogammari	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00104	0	0	0	0	0	0	0	0	0	0	0	0	0
Cucurbitaria berberidis	0,0064	0,00281	0,003374	0,003442	0,002331	0,005058	0,005159	0,001311	0,002099	0,008843	0,001266	0,008918	0,004087	0,003156	0,004583	0,002003	0,001222	0,013077	0,003998	0,002112	0,003068	0,009086	0,003565	0,008216	0,003817	0,001542	0,017633	0,023653	0,002912	0,008416	0,004702	0,0065	0,001439	0,002923	0,00202	0,003731	0,004992	0,003654	0,004624	0,004351	0,013206	0,001878	0,005548	0,007866	0,001182	0,000958	0,001625	0,001178	0,004832	0,000987
Cudoniella acicularis	0,536718	0,131924	0,131591	0,240523	0,140833	0,064272	0,120849	0,125404	0,098993	0,018349	0,014294	0,091486	0,121129	0,450551	0,005435	0,07504	0,041987	0,03739	0,064225	0,133726	0,067577	0,162214	0,22994	0,096903	0,020175	0,125705	0,120675	0,00503	0,062366	0,142561	0,022957	0,019949	0,060317	0,053135	0,007578	0,159482	0,140803	0,068519	0,00919	0,217068	0,029536	0,116907	0,025	0,085061	0,107126	0,087407	0,163244	0,011465	0,16148	0,032708
Curvularia kusanoi	0,0081	0,002354	0,004167	0,002671	0,001929	0,003434	0,004379	0,001051	0,001935	0,014776	0,001442	0,004709	0,002778	0,003193	0,002505	0,00157	0,000393	0,009119	0,002414	0,003293	0,002378	0,005859	0,004442	0,005499	0,003322	0,004225	0,015337	0,06598	0,002546	0,003531	0,003958	0,010237	0,002853	0,003077	0,001175	0,009006	0,004897	0,000635	0,022405	0,001632	0,004157	0,000875	0,005191	0,00159	0,000645	0,0016	0,003572	0,002636	0,002818	0,000582
Cutaneotrichosporon oleaginosum	0,000534	0,000823	0,001062	0,000381	0	0	0,001367	0	0	0,000393	0	0,0005	0	0	0,005112	0,00086	0	0,002406	0	0,000486	0	0,000655	0,000669	0,000402	0	0,000474	0,000732	0,00087	0,000951	0,000476	0	0,001452	0	0,000536	0	0	0	0	0,00148	0	0	0	0,002147	0	0	0	0	0	0	0
Cylindrobasidium torrendii	0,000481	0	0	0	0	0	0,000389	0	0	0,000814	0	0	0	0,000553	0	0,002139	0,000521	0	0	0	0	0	0	0,000573	0	0	0,00063	0	0	0	0	0	0	0	0	0,000474	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cylindrodendrum hubeiense	0,008691	0,001891	0,001064	0,002515	0,001998	0,439232	0,004339	0,00281	0,001688	0,005889	0,000812	0	0,001213	0,055466	0	0,000487	0	0,00862	0,000662	0,003796	0,000388	0,004902	0,001818	0,003692	0,002221	0,001452	0,003399	0,003458	0,001588	0,003413	0,001438	0	0,001411	0,001654	0,000605	0,001541	0,002759	0,00434	0	0,003223	0,000459	0	0,000649	0,020026	0,004198	0,004924	0,001108	0,001546	0,004892	0,001472
Cyphellophora europaea	0,007551	0,00545	0,006789	0,004606	0,003695	0,008368	0,011593	0,002473	0,003307	0,011619	0,002386	0,002459	0,004556	0,006558	0,003133	0,003997	0,002251	0,004289	0,002796	0,003489	0,009747	0,00937	0,006167	0,00968	0,001267	0,005407	0,008573	0,013462	0,007603	0,001922	0,005361	0,003903	0,003358	0,003044	0,004537	0,004311	0,005916	0,000505	0,011106	0,005245	0,005364	0,003303	0,005648	0,002393	0,003378	0,002317	0,002488	0,002766	0,005696	0,001315
Cytospora leucostoma	0,039048	0,047175	0,028521	0,037546	0,016461	0,052877	0,185823	0,015794	0,08906	0,499236	0,052463	0,00885	0,026295	0,018009	0,001819	0,014235	0	0,010047	0,002318	0,072147	0,00104	0,050334	0,057795	0,056272	0,000742	0,036178	0,161026	0,001696	0,029747	0,005235	0,055636	0,000592	0,060699	0,084472	0,001944	0,086891	0,011579	0,001274	0	0,021032	0,002952	0,006853	0,019439	0,081646	0,034395	0,004658	0,003348	0,029938	0,003494	0,012369
Dacryopinax primogenitus	0,000427	0	0	0,000555	0	0	0	0	0	0,000426	0	0	0,000872	0	0	0,002604	0,000473	0,00048	0	0	0	0	0,000654	0,001342	0	0	0,000853	0,000439	0	0	0	0	0	0,000447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dactylella cylindrospora	0,002913	0,000633	0,001102	0,001468	0,000959	0,002277	0,001061	0,000411	0,000978	0,001741	0	0,000383	0,001514	0,002452	0	0,000485	0	0	0	0,001329	0	0,003463	0,001078	0,002055	0	0,000505	0,002809	0,000551	0,000429	0,00042	0	0	0,000502	0,000393	0	0,0009	0,000743	0	0	0,001204	0	0	0	0,00042	0,000627	0,000602	0,000379	0	0,001115	0
Dactylella tenuis	0,002002	0,000924	0,001058	0,000673	0,000604	0	0,000571	0,000442	0	0,001126	0	0	0	0,00198	0	0,000491	0	0	0	0,000546	0	0,000906	0,001023	0	0	0	0	0	0	0	0	0	0	0,000954	0	0	0,000892	0	0	0,00093	0	0,000463	0	0,00047	0,000386	0	0,000379	0	0	0
Dactylellina cionopaga	0,00203	0,000768	0,001534	0,001775	0,000948	0,002781	0,001563	0,0004	0,00108	0,001936	0	0,000483	0,001855	0,002367	0	0,000434	0	0,00042	0	0,000565	0	0,003145	0,001797	0,016129	0	0,000392	0,011099	0,000504	0,000858	0	0,000456	0	0,000541	0,000533	0	0,001658	0,001189	0	0	0,00154	0	0,000618	0,000406	0,000825	0,000454	0,000468	0,000952	0	0,001463	0
