species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Deinococcus radiotolerans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009	0	950	0	0	0	0	0	0	0	0	0
Deinococcus reticulitermitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0
Deinococcus roseus	39	0	0	0	0	0	0	0	286	0	295	0	0	0	0	0	265	0	0	0	0	298	279	263	0	0	0	0	0	0	0	0	235	0	0	0	0	0	31	0	0	0	229	0	0	0	0	0	0	0
Deinococcus ruber	76	0	3286	382	0	0	304	550	502	687	581	0	32	232	0	44	1198	47	123	48	370	49824	1101	28357	0	290	2457	0	79	0	477	756	466	0	288	98	0	0	851	803	839	489	0	480	242	56	0	322	617	54
Deinococcus sedimenti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	357	0	0	0	0	0	0	0	0	0	307	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0
Deinococcus seoulensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus wulumuqiensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	0	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	223	0
Deinococcus yavapaiensis	0	0	0	0	0	0	0	0	341	0	78	0	0	0	0	34	485	0	41	0	361	1204	0	703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	256	0	0	0	0	0	0	0	0	0
Delftia acidovorans	55	570	0	676	23	2672	364	727	733	244	645	133	415	82	686	1262	55	125	48	86	587	687	625	333	98	331	780	818	38	276	508	564	663	31	698	31	421	340	1364	1207	1389	326	533	891	955	64	98	902	561	72
Delftia lacustris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0
Delftia tsuruhatensis	0	0	0	0	0	768	85	1043	265	0	485	0	0	60	335	0	37	0	0	22	276	0	333	0	44	413	0	281	0	0	370	332	428	0	1122	0	259	0	385	305	761	0	290	239	0	36	26	379	0	89
Deltaproteobacteria bacterium	9720	19503	34666	36387	3574	84723	17774	82647	199036	8746	87155	11664	56560	28273	25443	121019	56876	1653	24024	3193	159207	17003	18142	28461	8506	162344	23624	70705	8008	38029	35691	73695	33741	1742	108073	1474	47081	77028	37081	34334	19455	68839	9074	63918	102876	23148	12512	32481	187356	154242
Demequina aestuarii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0
Demequina lutea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	63	0	448	0	0	0	804	0	0	51	0	0	0	0	0	0	0	0
Demequina phytophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demequina salsinemoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demequina soli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
