genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Colletotrichum	8698	36978	39604	23448	4993	230598	45059	20115	24174	92862	6906	3269	18744	45233	9458	14424	1940	3658	1240	5392	6055	156701	19092	15453	984	15544	73865	26010	12454	6524	19372	7764	18377	3522	6979	5634	14301	5157	3753	39115	15294	5171	10381	47541	33176	2241	1997	16439	11652	3844
Conidiobolus	22	167	394	21	53	0	0	178	0	15	169	0	226	0	0	28	230	84	0	24	0	0	0	0	42	20	133	133	43	0	0	0	258	41	0	26	0	0	184	0	0	0	13	0	216	22	37	166	29	0
Coniella	3811	44822	21845	19008	2432	61977	52177	13740	48929	289487	11632	1632	24054	5456	836	11787	0	1311	249	7822	355	49592	39357	7176	23	35466	147196	516	3278	2811	48263	205	51384	9202	1076	8739	2317	297	0	16340	796	2927	16518	79962	42225	377	175	27298	773	2432
Coniochaeta	4346	21325	11953	12125	3910	90694	16254	13297	9711	41361	2598	1274	7421	33134	591	5764	946	727	550	3842	2266	18331	8430	7949	288	9032	30698	2995	1280	2434	8636	1670	7830	1516	2525	2566	3897	1729	508	24596	3860	1882	3747	32387	21667	1073	968	5436	5947	1512
Coniophora	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	55	0	0	0	0	0	0	0	201	0	0	153	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	212	0	0	0	0	0
Coniosporium	745	2305	2794	1862	278	7731	1758	1191	1376	1937	368	358	1469	2662	354	2195	179	202	136	224	733	4574	1083	2510	86	615	3973	2242	200	414	1065	1306	582	167	592	271	560	475	280	3004	1055	614	1309	1269	1633	149	228	786	2003	283
Coniothyrium	42	175	0	0	0	1306	217	0	0	1291	50	25	0	0	0	0	0	32	0	44	0	0	0	0	0	151	235	837	0	0	249	0	215	51	0	0	0	0	30	0	0	0	211	0	0	0	0	0	0	0
Coprinellus	0	0	0	0	0	0	0	0	145	24	0	0	0	252	0	88	312	24	0	0	0	0	0	576	0	0	295	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	266	0	17	0	0	0
Coprinopsis	0	0	0	0	0	0	0	0	25	0	0	0	0	290	20	115	277	0	0	0	0	0	0	424	0	0	252	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0
Cordyceps	589	2905	3204	1913	385	33311	2560	1663	2023	6685	415	290	1612	3614	356	1267	186	213	76	482	552	4710	1630	1805	69	1150	5850	2854	191	474	1558	790	1340	273	643	457	686	481	202	3698	758	454	901	4313	2846	179	176	2309	1031	335
Cortinarius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corynespora	740	1851	1989	1184	160	4845	1303	879	887	1945	292	971	1616	1737	641	1337	477	519	265	174	2381	2740	885	1359	130	643	3097	3849	215	907	1110	1495	509	133	670	209	1164	1035	523	1674	1632	569	1318	1215	1095	146	126	745	778	318
Crassisporium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cronartium	498	36702	1276	149	639	0	6357	17609	184	18	0	426	12834	0	83854	493	0	112	0	8057	1819	762	3986	168	1712	0	445	0	2039	744	0	5883	0	4408	835	523	4061	0	0	259	157	11511	30737	2497	8038	94	555	2906	0	1079
Crucibulum	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	50	197	0	0	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cryomyces	868	3228	3194	2440	357	8945	2353	1498	1649	2453	326	394	2066	3321	587	2545	221	297	129	289	754	5671	1677	2320	134	771	5295	3718	254	523	1422	2036	771	266	1006	306	1025	489	244	4020	830	767	1784	1690	2405	185	250	1117	2166	367
