genus	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Gandjariella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geitlerinema	48	0	1478	35	164	0	932	1095	0	0	0	349	448	3077	0	821	5885	135	119	0	362	0	0	3314	68	71	400	903	0	1494	0	881	0	0	0	219	28	481	1414	0	0	66	37	340	531	68	239	1273	833	0
Gelidibacter	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	58	633	112	116	0	443	402	0	0	40	0	0	0	0	44	0	390	0	0	0	0	0	401	51	0	0	0	576	0	0	0	0	0	106	0
Gellertiella	273	3607	0	789	175	0	1526	2069	903	717	1523	1699	1760	835	6697	1525	2197	286	750	487	5376	512	46	431	1389	3130	0	9478	1787	5898	2063	5730	819	135	5995	64	8916	4145	21148	1158	10162	2649	1524	791	1783	417	163	21993	917	2963
Gemella	0	0	0	0	0	1178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1756	0	0	0	403	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
Geminicoccus	223	1472	1932	1309	240	1484	580	2546	1207	65	1605	343	88	662	552	1984	1980	104	213	134	1713	1309	911	2701	280	1333	1355	2373	150	1478	1299	2586	1428	134	2137	110	1366	1644	2875	2590	2087	888	590	1314	4315	300	145	2036	1466	900
Geminisphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geminocystis	0	0	0	0	0	0	357	0	0	0	0	1139	0	1100	0	0	2526	499	0	0	1302	0	0	918	0	0	0	1613	0	6318	0	720	0	0	0	68	0	636	957	0	0	0	433	0	0	0	0	895	151	0
Gemmata	1071	2544	9903	10240	1275	5056	2759	13662	5735	2029	5092	2637	1244	9890	2730	14334	25046	775	1113	278	20555	3422	2629	21119	1732	3486	5697	17366	892	13232	5410	22577	3560	277	3470	395	1863	9574	15235	5468	3006	5561	3453	3996	18914	1424	405	7603	8066	8155
Gemmatimonas	994	6122	2611	2322	2424	4127	2802	15739	3699	1284	20994	7023	6947	5291	4570	10676	24990	985	2651	622	15591	1504	1401	3030	1433	4899	1578	29705	1195	34945	6664	29401	5401	315	6568	615	3375	6641	14405	3984	6146	6076	8173	3704	14209	1252	1689	9043	4189	7953
Gemmatirosa	429	1863	1237	712	776	1654	566	3392	1262	68	5664	849	1730	1131	816	2874	5612	167	725	196	3206	383	626	3070	288	1771	313	5083	318	3332	1502	35368	1225	37	2098	172	791	991	5879	1554	3318	1589	1116	761	2442	230	623	2080	1426	1515
Gemmobacter	1752	35378	1573	2456	430	1856	18122	34077	8386	2633	15482	10997	24200	4861	18254	25762	7019	2335	3738	4245	31265	3081	1203	1605	7578	12829	1600	59790	4666	36915	10876	31759	14322	2405	58680	190	36227	31539	9130	3643	19757	21279	13508	14484	17669	2119	874	50967	4204	10855
Geoalkalibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	376	0	0	0	0	0	0	65	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	534
Geobacillus	0	0	0	341	0	516	84	0	53	0	0	0	740	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	36	452	0	0	0	61	0	0	0	84	727	0	0
Geobacter	551	1708	3656	2546	366	10060	1081	5763	3035	832	10059	772	2246	1400	4138	7462	5230	1246	689	343	9030	2271	2590	2508	604	3820	2891	5553	312	1842	3496	6412	12843	739	3558	276	1999	7416	1660	5961	4237	2000	2802	3015	8813	941	359	5706	2995	4353
Geodermatophilus	832	1888	2060	792	211	1320	747	7526	1782	928	3047	989	824	843	2268	4801	3305	405	1007	347	6599	1587	998	3468	781	2219	1252	30007	488	3959	2763	16624	3055	332	11601	93	4888	3048	15289	2228	8019	3006	1811	2118	3848	509	252	4666	1430	3222
Geofilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0
Georgenia	193	807	508	36	0	0	0	1687	824	0	1290	315	59	323	453	1991	1396	152	322	117	2258	357	41	751	377	779	0	3527	149	1092	952	4221	1262	153	6151	0	3059	1557	4264	533	3351	903	613	624	1667	163	0	1542	555	1343
Geothermobacter	0	0	0	0	0	0	0	0	0	0	365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	393	0	0	0	0	0	0	63	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	483
Geothrix	266	0	2069	721	156	1652	0	2362	803	61	3050	82	0	753	1933	2077	6654	1406	118	103	10289	0	653	1272	185	781	794	1474	44	0	1889	1653	5897	184	420	177	1732	5960	763	4016	3204	474	6430	356	3373	328	0	3793	2842	1306
Gibbsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	647	0	0	127	0	0	0	862	0	0	386	0	153
Giesbergeria	230	1563	812	1428	156	3237	1039	3600	1524	618	3684	299	1073	789	1230	1213	186	262	171	379	1657	1578	2499	450	332	1853	2438	1876	127	537	1429	1683	3274	226	1811	116	1819	1061	752	3731	1439	779	967	2752	4045	213	277	3851	1219	986
Gilliamella	0	0	0	0	0	480	0	0	0	0	54	0	0	0	0	0	63	0	0	0	391	0	0	0	0	338	0	0	0	0	0	0	0	0	348	0	0	500	0	0	157	0	0	0	750	50	0	522	0	214
Gillisia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	79	0
Gilvimarinus	58	0	0	499	0	0	0	848	427	0	610	0	0	0	601	960	1051	0	60	142	582	0	378	0	35	889	0	493	0	0	701	499	460	0	470	0	41	58	0	435	0	524	360	0	491	163	34	460	569	463
Gimesia	402	608	958	1315	280	1389	581	4579	1649	457	2216	700	782	773	965	4808	4749	250	422	159	3885	1003	826	2967	635	1770	1226	5317	245	2628	1747	4966	1305	136	3465	123	872	2087	2434	2958	2085	1707	1057	1165	4480	454	176	2487	1818	2464
Ginsengibacter	907	4421	2348	2401	577	1921	2850	4218	3207	530	2337	1277	2187	4422	2043	11902	15775	896	2121	468	14027	4800	1864	2355	1582	2467	2892	10385	760	2748	2854	8629	1837	192	1480	164	5689	5229	6383	5381	2509	5359	6490	2493	2983	555	344	3458	4726	3275
Glaciecola	54	786	0	507	0	0	0	1015	442	36	596	420	2811	0	1455	966	629	0	272	180	1948	474	427	52	778	681	0	1543	226	980	591	1745	53	0	5461	0	707	1808	1127	814	485	1205	630	366	1297	97	0	1128	460	877
Glaciibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	4083	41	0	0	0	0	0	0	0	0	0	0	0	0	0	430	0	452	0	0	0	0	0	0	0	72	160
Glaciihabitans	83	1937	826	0	51	0	0	0	0	34	0	101	48	0	425	112	794	258	87	49	348	949	39	2419	970	0	981	2067	51	0	879	2493	112	0	1023	0	0	0	1330	531	619	0	2409	0	0	0	0	360	854	0
Glaciimonas	695	8746	4260	5917	829	11195	2835	10001	5958	2266	11099	407	1821	1962	2152	4698	2364	143	520	1502	2900	18909	13694	3283	341	6497	28285	1778	248	917	6497	4184	8231	808	2017	712	1972	1547	1036	15928	3088	2718	865	19093	11476	421	703	4048	5072	1650
Glaesserella	0	0	0	0	0	0	84	0	0	0	518	0	0	0	0	0	0	0	0	31	0	0	499	0	0	438	0	0	0	0	0	0	516	0	0	0	0	0	0	368	0	0	0	329	0	0	0	0	0	89
Gloeobacter	54	0	790	367	0	1263	380	1096	466	0	597	0	0	719	0	702	2195	0	116	0	419	0	0	2426	0	329	328	0	0	0	0	0	71	0	0	65	0	445	422	434	0	61	0	0	1667	104	0	0	624	485
Gloeocapsa	0	0	672	0	32	0	427	0	0	0	0	113	0	1655	0	0	3098	0	0	0	0	0	0	2965	0	0	0	0	0	586	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	193	0
Gloeocapsopsis	0	0	766	0	0	0	0	0	0	0	0	0	0	1234	0	0	2109	0	0	0	0	0	0	4227	0	0	0	0	0	420	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	141	0
Gloeomargarita	0	0	435	0	0	0	0	0	0	0	0	0	0	712	0	0	1336	0	0	0	0	0	0	507	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	68	0
Gloeothece	42	0	591	0	72	0	519	963	0	0	0	211	0	2124	0	666	3903	0	48	0	0	0	0	3174	0	347	0	0	0	1174	0	0	0	0	0	128	0	36	429	0	0	0	0	0	0	0	0	0	302	551
Gluconacetobacter	235	3402	4049	2577	298	3653	852	3751	1519	899	1980	288	1002	668	2336	2139	1446	171	239	291	2084	5258	2460	7082	171	2540	3030	1402	405	760	2227	2345	2417	315	2111	150	1219	1811	921	5229	1232	856	2568	2718	9915	362	175	3897	3956	1566
Gluconobacter	185	3385	2850	1850	296	2585	996	2688	1241	751	1728	345	1196	621	1345	1643	970	203	197	252	1365	3821	1373	3518	218	1262	1941	1224	322	697	1771	1674	1553	256	1421	178	966	1345	754	3116	891	887	1261	2247	6010	284	271	2600	2498	806
Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	449	0	0	0	0	0	0	10154	0	0	0	0	0	0	0	0	0	0	0
Glycocaulis	81	1259	1359	556	294	0	725	1370	653	0	974	279	777	69	397	1487	506	211	210	100	1168	499	49	590	189	571	386	861	175	602	631	886	516	56	1373	183	825	944	524	1139	548	723	420	1485	1802	188	225	1066	585	900
Glycomyces	145	0	372	0	0	0	0	1054	664	0	894	363	0	0	531	1255	875	0	492	66	2293	414	42	659	167	673	0	1701	61	1636	620	2576	681	56	5992	0	814	792	1706	551	1145	938	0	397	648	115	47	577	606	1478
Goodfellowiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	69	0	138	0	365	0	0	320	0	0	0	0	0	0	0	0	62	0	1215	0	0	0	421	0	0	75	0	0	0	0	0	0	0	335
Gordonia	5790	1928	1186	946	168	2848	732	3844	1803	526	3016	1115	1019	786	1191	4186	2778	1440	852	353	5510	1431	831	2026	867	2571	1362	6265	376	4056	2339	10331	2215	281	8023	94	5603	5299	15234	2687	6859	2757	3979	2330	3888	1428	225	17743	1956	3281
Gracilimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gramella	0	0	0	40	0	0	0	0	42	0	0	0	53	0	0	687	683	47	180	33	996	540	0	470	49	332	0	813	37	38	0	928	0	0	336	0	0	468	47	0	113	0	510	0	0	0	0	0	114	0
Granulibacter	74	610	2882	1080	199	1379	0	1601	493	34	790	0	0	0	427	700	562	0	0	90	0	627	950	7136	0	549	1383	0	48	0	629	432	1315	108	0	57	0	0	0	3229	0	63	441	484	6661	175	0	620	939	0
Granulicella	1057	11460	162293	10538	1426	338215	7146	10588	6957	3487	7522	682	1123	12223	1313	7093	12169	171	733	451	4619	33610	16097	76392	387	3814	23990	3417	698	1432	10067	4569	8458	519	3039	1603	1417	90165	2870	49657	1767	2544	1149	10808	99142	3747	567	3828	9763	2970
Granulicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	406	0	0	0	628	0	0	0	0	0	0	0	0	0	0	0
Granulosicoccus	0	0	0	433	0	0	0	847	489	35	893	0	52	0	0	729	598	0	110	43	871	0	444	0	35	712	0	433	0	0	447	408	680	0	1281	0	716	391	0	1010	0	411	0	0	548	87	0	408	602	576
Grimontella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	563	0	0	0	0	0	0	0	0	0
Grimontia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0
Gryllotalpicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	587	39	0	0	0	0	0	0	0	0	0	846	0	0	0	462	0	0	0	0	0	0	0	0	0	0	0
Gulbenkiania	61	0	0	339	0	1634	158	981	0	0	1051	0	0	168	0	0	85	0	58	44	322	0	491	0	0	563	0	0	0	0	675	479	906	41	0	0	407	0	0	1531	1306	0	0	1022	2079	100	0	550	461	119
Gulosibacter	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	0	0	0	0	0	0	0	0	0	0	885	0	0	0	1041	0	370	0	0	0	0	0	0	415	0	0
Gynuella	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	39	0	0	0	0	0	470	0	0	0	0	374	0	0	0	351	0	0	31	0	0	0	0	0	0	332	0	0	0	0	385
Gynurincola	171	547	0	386	37	0	641	507	884	37	264	359	67	1183	0	3559	3057	156	1582	34	5496	925	41	443	260	445	1036	1487	108	1504	373	3216	61	0	411	0	1253	847	835	652	156	1211	1304	0	0	89	35	328	1672	894
Haematobacter	73	1308	0	323	0	0	599	1317	472	36	1010	275	755	74	554	1116	531	86	114	139	1006	0	0	0	209	740	0	1716	134	771	715	1269	700	68	3384	0	1587	1114	518	820	1062	756	773	467	1118	109	0	1608	420	509
Haematospirillum	0	0	0	952	0	0	0	616	0	0	374	0	0	0	0	0	0	0	0	0	0	0	482	0	0	0	347	0	0	0	0	0	899	0	0	0	0	0	0	729	0	0	0	0	2577	47	0	0	0	0
Haemophilus	0	463	0	432	0	1103	0	849	46	0	74	70	0	0	361	60	416	0	0	92	372	1471	51	0	0	360	0	748	0	0	476	0	460	73	458	0	0	400	597	388	835	0	0	450	1629	0	0	1080	490	125
