species	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CAV1	CAV2	CBR1	COV1	CasM1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	VIZ1	Vilc1	rPON1
Peltigera dolichorrhiza	0	0	123	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peltigera malacea	0	0	0	0	0	1592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Peltigera membranacea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
Penicilliopsis zonata	232	1077	1478	677	86	3179	623	473	501	903	32	111	602	915	0	587	22	73	0	109	0	1834	460	524	0	231	1356	634	52	164	403	181	349	73	131	89	244	160	0	1306	257	244	386	700	902	67	72	443	466	25
Penicillium antarcticum	148	417	659	391	39	1912	306	265	287	441	28	31	263	572	0	265	0	0	25	59	0	4077	335	432	0	148	956	5422	0	14	246	0	491	0	0	79	12	0	0	699	0	42	123	336	1303	24	19	2018	316	0
Penicillium arizonense	170	579	944	511	69	2410	422	363	395	649	0	95	341	636	0	361	0	21	0	64	0	4883	312	650	0	151	1188	6123	15	21	255	0	532	18	0	129	199	133	150	701	179	57	219	435	1732	38	51	2385	292	0
Penicillium brasilianum	272	814	1024	733	77	2773	507	519	413	594	21	80	382	1022	0	549	0	28	0	83	156	2301	457	508	0	144	1350	1644	53	194	266	170	271	46	0	148	257	210	0	1036	178	177	274	569	1614	53	79	1532	438	0
Penicillium brevicompactum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Penicillium camemberti	46	0	171	0	0	674	49	0	0	331	0	0	0	164	0	0	0	0	0	0	0	1229	0	29	0	0	339	1461	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	254	0	0	525	0	0
Penicillium coprophilum	65	178	200	200	0	1091	195	0	169	321	0	0	176	280	0	0	0	0	0	0	0	1878	167	47	0	0	516	2332	0	0	19	0	54	17	0	38	24	0	0	269	0	0	0	0	570	21	0	899	0	0
Penicillium crustosum	31	0	0	0	0	764	54	0	0	377	0	0	0	155	0	0	0	0	0	0	0	808	0	38	0	0	155	964	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	275	0	0	333	0	0
