ordem	AGR1	AND1	ARG1	ARG2	ARG3	AVE1	AZE1	AZE2	BIL1	CAB1	CAN1	CasM1	CAV1	CAV2	CBR1	COV1	ERM1	EST1	EST2	FER1	FERRO1	FOR1	GER1	HOM1	LAB1	LAM1	MACE1	MACI1	MOU1	NES1	OLI1	PON1	RAB1	RAB2	ROD1	rPON1	SAL1	SAN1	SEL1	SOU1	TAve1	TAve2	TOJ1	VEI1	VEZ1	VEZ2	VEZ3	VIL1	Vilc1	VIZ1
Umbilicariales	0,026758	0,008205	0,012399	0,013929	0,010459	0,010813	0,010703	0,006269	0,006854	0,008685	0	0,006039	0,005632	0,01388	0,022337	0	0	0	0	0,008973	0	0,016289	0,012108	0,019911	0	0	0,016518	0	0,005813	0,006824	0,007836	0	0	0	0	0	0,009372	0,011796	0	0	0,015598	0	0,007173	0	0,006149	0,0062	0,006008	0,006586	0,011882	0
Ustilaginales	0,008668	0,036901	0	0,008478	0	0	0,007016	0	0,006044	0,006579	0	0,005935	0	0	0	0,080541	0	0,009265	0	0	0	0,009446	0	0,008321	0,008719	0,007115	0,007341	0,012588	0,012514	0	0	0,00655	0	0	0	0	0,00692	0	0	0,006379	0	0,009401	0,005632	0,007502	0	0	0	0	0	0,007177
Venturiales	0,444146	0,433008	1,764662	0,629493	0,078364	0,595138	0,30257	0,501445	0,754614	0,129814	0,116926	0,336553	1,891958	0,967043	0,186897	0,01935	0,035873	0,267044	0,032872	0,034627	0,413106	0,22495	0,194593	0,159572	0,024154	0,119621	0,939108	0,106831	0,469208	0,06775	0,446061	0,186761	0,304188	0,114504	0,145643	0,304816	0,229541	0,318353	0,085775	0,023167	0,429003	0,040868	1,18279	0,447618	0,421785	0,08298	0,645637	0,649355	0,972408	0,079247
Verrucariales	0,013844	0	0,009351	0,008407	0,006839	0,011368	0,00887	0	0	0,009254	0	0	0	0,00864	0,013274	0	0	0	0	0	0	0,012206	0,008109	0,014303	0	0	0,010751	0	0	0	0	0	0,008699	0	0	0	0,008411	0,006168	0	0	0,009414	0	0	0	0	0	0	0	0,00845	0
Violaceomycetales	0	0,01161	0	0	0	0	0	0	0	0	0	0	0	0	0	0,009629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wallemiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,007227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xylariales	0,401	0,197564	0,215998	0,257092	0,217539	0,586032	0,441441	0,117279	0,179517	0,847414	0,097464	0,067213	0,069688	0,14538	0,386838	0,017005	0,021761	0,219266	0,04567	0,291379	0,03213	0,473665	0,260336	0,906601	0,022585	0,100441	0,687801	0,060966	0,145386	0,07351	0,655946	0,024345	0,153297	0,156793	0,060678	0,040425	0,28582	0,334097	0,044158	0,020139	0,4814	0,698714	0,067663	0,169687	0,300162	0,140088	0,253579	0,071269	0,147853	0,081413
Xylonales	0,012411	0	0,01014	0,007491	0,006016	0,00899	0,008111	0	0	0,010008	0	0	0	0,010143	0,011701	0	0	0	0	0	0	0,011896	0,005672	0,0149	0	0	0,012184	0	0	0	0	0	0	0	0	0	0	0,010501	0	0	0,008488	0	0	0	0	0	0	0	0,006901	0
Zoopagales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,00563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
riqueza	58	53	58	62	52	54	56	44	48	63	40	55	49	53	52	48	28	48	34	44	32	58	55	63	35	48	63	43	52	40	48	37	50	50	35	33	53	49	33	36	54	43	48	51	44	49	48	43	52	44
